datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,tzoffset
2017-12-09,1512774000,2.2,-1.0,0.7,0.5,-2.6,-1.3,-2.1,81.8,0.0,0.0,0.0,,0.0,0.1,28.4,14.5,233.4,1006.1,71.9,12.3,28.6,2.5,1.0,07:33:06,1512801186,15:23:24,1512829404,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['12376099999', 'EPWA', '12105699999', '12375099999', '12105199999', 'EPMO']",obs,
2017-12-10,1512860400,2.7,-0.1,0.9,-0.3,-5.3,-3.0,-2.5,78.0,0.0,0.0,0.0,,0.0,0.1,40.0,20.3,205.6,1002.1,77.7,14.1,25.4,2.2,1.0,07:34:12,1512887652,15:23:14,1512915794,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['12376099999', 'EPWA', '12105699999', '12375099999', '12105199999', 'EPMO']",obs,
2017-12-11,1512946800,6.0,-1.0,3.5,3.4,-6.6,-0.3,-0.2,77.2,0.676,100.0,8.33,"['rain', 'snow']",0.0,0.1,43.2,21.1,152.0,993.9,81.6,17.0,16.9,1.3,1.0,07:35:16,1512974116,15:23:06,1513002186,0.77,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"['12376099999', 'EPWA', '12105699999', '12375099999', '12105199999', 'EPMO']",obs,
2017-12-12,1513033200,10.9,4.8,7.3,10.9,1.3,4.6,2.0,69.6,0.0,0.0,0.0,,0.0,0.1,51.2,26.5,201.5,1000.2,78.7,17.7,21.1,1.7,2.0,07:36:17,1513060577,15:23:02,1513088582,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['12376099999', 'EPWA', '12105699999', '12375099999', '12105199999', 'EPMO']",obs,
2017-12-13,1513119600,4.7,-1.8,1.5,1.3,-6.7,-1.7,-2.9,73.0,0.0,0.0,0.0,,0.0,0.2,38.5,20.4,233.6,1013.5,59.3,15.4,24.4,2.1,1.0,07:37:14,1513147034,15:23:02,1513174982,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['12376099999', 'EPWA', '12105699999', '12375099999', '12105199999', 'EPMO']",obs,
2017-12-14,1513206000,4.9,-2.4,1.3,1.0,-7.4,-2.9,-1.4,82.7,0.29,100.0,4.17,['rain'],0.3,0.3,53.9,23.2,175.6,997.2,72.9,11.0,13.2,1.2,1.0,07:38:09,1513233489,15:23:05,1513261385,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,snow,"['12376099999', 'EPWA', '12105699999', '12375099999', '12105199999', 'EPMO']",obs,
2017-12-15,1513292400,3.7,0.1,2.1,1.1,-3.4,-0.9,-0.5,83.6,0.29,100.0,4.17,['rain'],0.3,0.5,43.2,18.0,179.8,997.8,76.1,12.5,14.7,1.2,1.0,07:39:01,1513319941,15:23:12,1513347792,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,snow,"['12376099999', 'EPWA', '12105699999', '12375099999', '12105199999', 'EPMO']",obs,
2017-12-16,1513378800,1.9,0.9,1.2,1.1,-2.9,-1.6,0.1,92.2,0.0,0.0,0.0,,0.0,0.2,27.0,14.6,282.8,1004.0,89.2,6.2,10.1,1.0,1.0,07:39:50,1513406390,15:23:22,1513434202,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['12376099999', 'EPWA', '12105699999', '12375099999', '12105199999', 'EPMO']",obs,
2017-12-17,1513465200,2.9,-0.9,1.0,2.9,-2.3,0.0,-0.6,89.0,0.0,0.0,0.0,,0.0,0.1,38.9,8.4,222.7,1016.7,73.4,7.5,23.4,2.0,1.0,07:40:36,1513492836,15:23:36,1513520616,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['12376099999', 'EPWA', '12105699999', '12375099999', '12105199999', 'EPMO']",obs,
2017-12-18,1513551600,0.3,-3.1,-1.0,-0.6,-9.0,-3.3,-1.9,93.8,0.0,0.0,0.0,,0.0,0.1,19.4,18.9,317.2,1025.6,84.6,4.5,16.5,1.4,1.0,07:41:19,1513579279,15:23:53,1513607033,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['12376099999', 'EPWA', '12105699999', '12375099999', '12105199999', 'EPMO']",obs,
